OTU00001	Arthropoda;Arachnida;Mesostigmata;Parasitidae
OTU00002	Arthropoda;Collembola;Entomobryomorpha;Entomobryidae
OTU00003	Arthropoda;Collembola;Entomobryomorpha;Entomobryidae
OTU00004	Arthropoda;Collembola;Entomobryomorpha;Entomobryidae
OTU00005	Arthropoda;Insecta;Psocodea;Caeciliusidae
OTU00006	Arthropoda;Collembola;Entomobryomorpha;Entomobryidae
OTU00007	Arthropoda;Insecta;Diptera;Chironomidae
OTU00008	Arthropoda;Insecta;Psocodea;Stenopsocidae
OTU00009	Arthropoda;Insecta;Diptera;Syrphidae
OTU00010	Arthropoda;Collembola;Entomobryomorpha;Entomobryidae
OTU00011	Arthropoda;Collembola;Entomobryomorpha;Entomobryidae
OTU00012	Arthropoda;Insecta;Diptera;Phoridae
OTU00013	Arthropoda;Collembola;Entomobryomorpha;Entomobryidae
OTU00014	Arthropoda;Insecta;Diptera;Ceratopogonidae
OTU00015	Arthropoda;Insecta;Diptera;Muscidae
OTU00016	Arthropoda;Insecta;Diptera;Sciaridae
OTU00017	Arthropoda;Arachnida;Sarcoptiformes;Oribatulidae
OTU00018	Arthropoda;Insecta;Hemiptera;Cicadellidae
OTU00019	Arthropoda;Insecta;Diptera;Phoridae
OTU00020	Arthropoda;Insecta;Diptera;Sarcophagidae
OTU00021	Arthropoda;Insecta;Diptera;Cecidomyiidae
OTU00022	Arthropoda;Insecta;Diptera;Anthomyiidae
OTU00023	Arthropoda;Insecta;Hymenoptera;Formicidae
OTU00024	Arthropoda;Arachnida;Trombidiformes;Bdellidae
OTU00025	Arthropoda;Insecta;Diptera;Syrphidae
OTU00026	Arthropoda;Insecta;Diptera;Anisopodidae
OTU00027	Arthropoda;Arachnida;Opiliones;Phalangiidae
OTU00028	Arthropoda;Insecta;Diptera;Chironomidae
OTU00029	Arthropoda;Insecta;Diptera;Ceratopogonidae
OTU00030	Arthropoda;Insecta;Diptera;Dolichopodidae
OTU00031	Arthropoda;Arachnida;Opiliones;Phalangiidae
OTU00032	Arthropoda;Insecta;Hemiptera;Aphididae
OTU00033	Arthropoda;Insecta;Coleoptera;Latridiidae
OTU00034	Arthropoda;Insecta;Psocodea;Peripsocidae
OTU00035	Arthropoda;Arachnida;Araneae;Linyphiidae
OTU00036	Arthropoda;Insecta;Diptera;Chironomidae
OTU00037	Arthropoda;Insecta;Diptera;Phoridae
OTU00038	Arthropoda;Insecta;Diptera;Sciaridae
OTU00039	Arthropoda;Insecta;Diptera;Heleomyzidae
OTU00040	Arthropoda;Insecta;Diptera;Chironomidae
OTU00041	Arthropoda;Insecta;Diptera;Phoridae
OTU00042	Arthropoda;Insecta;Psocodea;Paracaeciliidae
OTU00043	Arthropoda;Insecta;Coleoptera;Throscidae
OTU00044	Arthropoda;Insecta;Diptera;Anthomyiidae
OTU00045	Arthropoda;Insecta;Coleoptera;Elateridae
OTU00047	Arthropoda;Arachnida;Araneae;Linyphiidae
OTU00048	Arthropoda;Insecta;Hymenoptera;Formicidae
OTU00049	Arthropoda;Insecta;Diptera;Muscidae
OTU00050	Arthropoda;Insecta;Diptera;Cecidomyiidae
OTU00051	Arthropoda;Insecta;Diptera;Muscidae
OTU00052	Arthropoda;Insecta;Diptera;Phoridae
OTU00053	Arthropoda;Insecta;Hymenoptera;Ichneumonidae
OTU00054	Arthropoda;Insecta;Diptera;Chironomidae
OTU00055	Arthropoda;Collembola;Entomobryomorpha;Entomobryidae
OTU00056	Arthropoda;Insecta;Diptera;Sciaridae
OTU00057	Arthropoda;Insecta;Hemiptera;Aphididae
OTU00058	Arthropoda;Insecta;Diptera;Syrphidae
OTU00059	Arthropoda;Insecta;Diptera;Phoridae
OTU00060	Arthropoda;Insecta;Diptera;Muscidae
OTU00061	Arthropoda;Insecta;Coleoptera;Latridiidae
OTU00062	Arthropoda;Insecta;Diptera;Hybotidae
OTU00063	Arthropoda;Insecta;Hemiptera;Cicadellidae
OTU00064	Arthropoda;Insecta;Hymenoptera;Ichneumonidae
OTU00065	Arthropoda;Insecta;Diptera;Cecidomyiidae
OTU00066	Arthropoda;Insecta;Diptera;Phoridae
OTU00067	Arthropoda;Arachnida;Araneae;Philodromidae
OTU00068	Arthropoda;Insecta;Diptera;Chironomidae
OTU00069	Arthropoda;Insecta;Hymenoptera;Formicidae
OTU00070	Arthropoda;Collembola;Entomobryomorpha;Entomobryidae
OTU00071	Arthropoda;Insecta;Diptera;Culicidae
OTU00072	Arthropoda;Insecta;Diptera;Anthomyiidae
OTU00073	Arthropoda;Insecta;Diptera;Mycetophilidae
OTU00074	Arthropoda;Insecta;Diptera;Muscidae
OTU00075	Arthropoda;Insecta;Blattodea;Ectobiidae
OTU00076	Arthropoda;Insecta;Diptera;Phoridae
OTU00077	Arthropoda;Insecta;Lepidoptera;Elachistidae
OTU00078	Arthropoda;Insecta;Diptera;Dolichopodidae
OTU00079	Arthropoda;Insecta;Psocodea;Trogiidae
OTU00080	Arthropoda;Insecta;Diptera;Anisopodidae
OTU00081	Arthropoda;Insecta;Hemiptera;Cicadellidae
OTU00082	Arthropoda;Insecta;Plecoptera;Nemouridae
OTU00084	Arthropoda;Insecta;Diptera;Chironomidae
OTU00085	Arthropoda;Collembola;Entomobryomorpha;Entomobryidae
OTU00086	Arthropoda;Arachnida;Araneae;Clubionidae
OTU00087	Arthropoda;Insecta;Diptera;Muscidae
OTU00088	Arthropoda;Insecta;Hemiptera;Cicadellidae
OTU00089	Arthropoda;Insecta;Diptera;Sciaridae
OTU00090	Arthropoda;Insecta;Hymenoptera;Formicidae
OTU00091	Arthropoda;Arachnida;Araneae;Thomisidae
OTU00092	Arthropoda;Insecta;Diptera;Muscidae
OTU00093	Arthropoda;Insecta;Diptera;Phoridae
OTU00094	Arthropoda;Insecta;Diptera;Scathophagidae
OTU00095	Arthropoda;Insecta;Diptera;Cecidomyiidae
OTU00096	Arthropoda;Insecta;Dermaptera;Forficulidae
OTU00097	Arthropoda;Collembola;Entomobryomorpha;Entomobryidae
OTU00098	Arthropoda;Insecta;Hymenoptera;Vespidae
OTU00099	Arthropoda;Insecta;Hemiptera;Aphididae
OTU00100	Arthropoda;Insecta;Diptera;Muscidae
OTU00101	Arthropoda;Insecta;Coleoptera;Scraptiidae
OTU00102	Arthropoda;Collembola;Entomobryomorpha;Entomobryidae
OTU00103	Arthropoda;Insecta;Diptera;Phoridae
OTU00104	Arthropoda;Insecta;Diptera;Chironomidae
OTU00105	Arthropoda;Insecta;Hymenoptera;Ichneumonidae
OTU00106	Arthropoda;Insecta;Coleoptera;Scirtidae
OTU00107	Arthropoda;Insecta;Diptera;Drosophilidae
OTU00108	Arthropoda;Insecta;Diptera;Sciaridae
OTU00109	Arthropoda;Insecta;Diptera;Cecidomyiidae
OTU00110	Arthropoda;Insecta;Diptera;Cecidomyiidae
OTU00111	Arthropoda;Insecta;Diptera;Anthomyiidae
OTU00112	Arthropoda;Insecta;Hemiptera;Cicadellidae
OTU00113	Arthropoda;Insecta;Hymenoptera;Ichneumonidae
OTU00114	Arthropoda;Insecta;Diptera;Cecidomyiidae
OTU00115	Arthropoda;Insecta;Diptera;Anthomyiidae
OTU00116	Arthropoda;Insecta;Diptera;Phoridae
OTU00117	Arthropoda;Insecta;Diptera;Sciaridae
OTU00118	Arthropoda;Insecta;Hymenoptera;Platygastridae
OTU00119	Arthropoda;Insecta;Diptera;Cecidomyiidae
OTU00120	Arthropoda;Insecta;Hymenoptera;Ichneumonidae
OTU00121	Arthropoda;Insecta;Hymenoptera;Platygastridae
OTU00122	Arthropoda;Insecta;Diptera;Muscidae
OTU00123	Arthropoda;Insecta;Diptera;Mycetophilidae
OTU00124	Arthropoda;Insecta;Diptera;Sciaridae
OTU00125	Arthropoda;Insecta;Hemiptera;Cicadellidae
OTU00126	Arthropoda;Insecta;Diptera;Simuliidae
OTU00127	Arthropoda;Insecta;Diptera;Asilidae
OTU00128	Arthropoda;Insecta;Diptera;Chironomidae
OTU00129	Arthropoda;Insecta;Diptera;Polleniidae
OTU00130	Arthropoda;Insecta;Coleoptera;Throscidae
OTU00131	Arthropoda;Insecta;Diptera;Sciaridae
OTU00132	Arthropoda;Insecta;Diptera;Polleniidae
OTU00133	Arthropoda;Insecta;Diptera;Muscidae
OTU00134	Arthropoda;Insecta;Hemiptera;Lygaeidae
OTU00135	Arthropoda;Insecta;Lepidoptera;Geometridae
OTU00136	Arthropoda;Insecta;Diptera;Phoridae
OTU00137	Arthropoda;Insecta;Diptera;Tabanidae
OTU00138	Arthropoda;Insecta;Diptera;Mycetophilidae
OTU00139	Arthropoda;Insecta;Diptera;Syrphidae
OTU00140	Arthropoda;Insecta;Diptera;Cecidomyiidae
OTU00141	Arthropoda;Arachnida;Araneae;Clubionidae
OTU00142	Arthropoda;Insecta;Diptera;Sciaridae
OTU00143	Arthropoda;Insecta;Hymenoptera;Apidae
OTU00144	Arthropoda;Insecta;Diptera;Cecidomyiidae
OTU00145	Arthropoda;Collembola;Entomobryomorpha;Tomoceridae
OTU00146	Arthropoda;Insecta;Hymenoptera;Scelionidae
OTU00147	Arthropoda;Collembola;Symphypleona;Sminthuridae
OTU00148	Arthropoda;Insecta;Hymenoptera;Vespidae
OTU00149	Arthropoda;Insecta;Diptera;Rhagionidae
OTU00150	Arthropoda;Insecta;Coleoptera;Chrysomelidae
OTU00151	Arthropoda;Insecta;Diptera;Ceratopogonidae
